customer_id,gender,start_date,end_date,decide_end_date,campaign_name,class_name,price
TS975153,F,2017-01-01,,,通常,デイタイム,7500
HI056567,M,2017-01-01,,,通常,ナイト,6000
TS749639,M,2017-01-01,,,通常,オールタイム,10500
PL259109,F,2017-01-01,,,通常,デイタイム,7500
HD165212,M,2017-01-01,,,通常,ナイト,6000
HD139654,M,2017-01-01,,,通常,オールタイム,10500
HI795669,F,2017-01-01,,,通常,オールタイム,10500
HI113055,F,2017-01-01,,,通常,オールタイム,10500
GD719151,F,2017-01-01,,,通常,デイタイム,7500
OA471356,F,2017-01-01,,,通常,デイタイム,7500
GD325128,M,2017-01-01,2018-04-30,2018-03-31,通常,オールタイム,10500
GD316957,M,2017-01-01,,,通常,デイタイム,7500
IK998240,F,2017-01-01,,,通常,オールタイム,10500
PL331522,M,2017-01-01,,,通常,オールタイム,10500
HD188491,M,2017-01-01,,,通常,ナイト,6000
IK967528,M,2017-01-01,,,通常,ナイト,6000
HI297129,M,2017-01-01,,,通常,ナイト,6000
HI375298,F,2017-01-01,,,通常,オールタイム,10500
PL381656,M,2017-01-01,,,通常,ナイト,6000
TS808526,F,2017-01-01,,,通常,ナイト,6000
HI957106,M,2017-01-01,,,通常,ナイト,6000
GD582469,F,2017-01-01,,,通常,デイタイム,7500
OA459530,M,2017-01-01,,,通常,オールタイム,10500
OA233706,F,2017-01-01,,,通常,デイタイム,7500
HI614861,M,2017-01-01,,,通常,オールタイム,10500
OA215868,F,2017-01-01,2018-05-31,2018-04-30,通常,オールタイム,10500
IK174853,F,2017-01-01,,,通常,オールタイム,10500
PL071673,F,2017-01-01,,,通常,ナイト,6000
AS335390,F,2017-01-01,,,通常,オールタイム,10500
HD557689,F,2017-01-01,,,通常,オールタイム,10500
HI151922,F,2017-01-01,,,通常,オールタイム,10500
OA354722,M,2017-01-01,,,通常,オールタイム,10500
TS394144,M,2017-01-01,,,通常,オールタイム,10500
HI235051,F,2017-01-01,2018-06-30,2018-05-31,通常,ナイト,6000
HD749546,F,2017-01-01,,,通常,デイタイム,7500
TS937124,M,2017-01-01,,,通常,ナイト,6000
IK990829,F,2017-01-01,,,通常,オールタイム,10500
HD084175,M,2017-01-01,,,通常,ナイト,6000
OA896685,M,2017-01-01,,,通常,ナイト,6000
HD771279,M,2017-01-01,,,通常,オールタイム,10500
HD719737,M,2017-01-01,,,通常,オールタイム,10500
HI488259,F,2017-01-01,,,通常,デイタイム,7500
HI527630,M,2017-01-01,,,通常,ナイト,6000
PL242307,F,2017-01-01,,,通常,オールタイム,10500
HD760983,F,2017-01-01,,,通常,デイタイム,7500
GD238607,F,2017-01-01,,,通常,デイタイム,7500
TS236568,F,2017-01-01,,,通常,デイタイム,7500
AS196653,F,2017-01-01,,,通常,オールタイム,10500
AS499352,F,2017-01-01,,,通常,デイタイム,7500
TS138606,F,2017-01-01,,,通常,オールタイム,10500
PL564760,M,2017-01-01,,,通常,ナイト,6000
OA668076,F,2017-01-01,,,通常,ナイト,6000
PL975652,M,2017-01-01,,,通常,オールタイム,10500
OA398636,M,2017-01-01,,,通常,ナイト,6000
IK703077,M,2017-01-01,2018-12-31,2018-11-30,通常,オールタイム,10500
PL400427,F,2017-01-01,,,通常,オールタイム,10500
IK907713,M,2017-01-01,,,通常,ナイト,6000
TS821125,F,2017-01-01,,,通常,オールタイム,10500
OA818294,F,2017-01-01,,,通常,デイタイム,7500
GD699826,M,2017-01-01,,,通常,オールタイム,10500
HD113386,M,2017-01-01,,,通常,オールタイム,10500
OA192308,M,2017-01-01,,,通常,ナイト,6000
HI109765,M,2017-01-01,,,通常,オールタイム,10500
OA698422,F,2017-01-01,,,通常,オールタイム,10500
GD998772,F,2017-01-01,,,通常,オールタイム,10500
HD263348,F,2017-01-01,,,通常,ナイト,6000
OA072075,F,2017-01-01,,,通常,ナイト,6000
IK747199,F,2017-01-01,,,通常,オールタイム,10500
PL538517,M,2017-01-01,,,通常,ナイト,6000
OA241119,F,2017-01-01,,,通常,デイタイム,7500
HI615379,M,2017-01-01,,,通常,オールタイム,10500
IK250912,F,2017-01-01,,,通常,デイタイム,7500
HI338198,F,2017-01-01,,,通常,オールタイム,10500
HI246920,F,2017-01-01,,,通常,オールタイム,10500
AS818410,M,2017-01-01,,,通常,オールタイム,10500
GD172600,M,2017-02-01,,,通常,デイタイム,7500
OA134132,F,2017-02-01,2018-09-30,2018-08-31,通常,オールタイム,10500
GD375438,F,2017-02-01,2019-01-31,2018-12-31,通常,デイタイム,7500
PL215097,M,2017-02-01,,,通常,オールタイム,10500
OA377888,F,2017-02-01,,,通常,オールタイム,10500
PL210567,M,2017-02-01,,,通常,オールタイム,10500
GD126264,M,2017-02-01,,,通常,ナイト,6000
GD174095,M,2017-02-01,,,通常,オールタイム,10500
OA917517,F,2017-02-01,,,通常,デイタイム,7500
HD424190,M,2017-02-01,,,通常,ナイト,6000
PL628468,M,2017-02-01,,,通常,ナイト,6000
IK743815,F,2017-02-01,,,通常,オールタイム,10500
AS113826,F,2017-02-01,,,通常,オールタイム,10500
PL500772,F,2017-02-01,,,通常,デイタイム,7500
HD799859,M,2017-02-01,,,通常,オールタイム,10500
HD853800,M,2017-02-01,2019-01-31,2018-12-31,通常,オールタイム,10500
PL988722,M,2017-02-01,,,通常,ナイト,6000
